UID,Category,KW,Web,Emp_count,Sales,Note,KW_search,FB_likes,FB,Position_CH,Impressions,Visits,Value_visitor,Value,Links,Site_count,Capital,Headquarter,City,Registered,Age,Size,BCG,Ratio,Sales per Emp_count
CHE-105.854.263,Sonstiger ahrungsmittel-/Lebensmittelhandel,Volg,www.volg.ch,1000,500000000,2016 ovember,44,127876,N,9497,36515,18586,0.13,14717,393,117300,20000000,Switzerland,Winterthur,1972,Aging,XL,Cash Cow,Low Industry Growth,500000
CHE-293.158.291,JDE,Mastro lorenzo,https://www.mastrolorenzo.ch,5,30000000,N,0,4660,N,7892,57815,25137,0.47,19567,607,31200,100000,Switzerland,Zug,2015,New,XS,Question mark,High Industry Growth,6000000
CHE-107.856.327,Delica,Cafee Royal,https://ch.cafe-royal.com,15,200000,N,20,60259,N,5993,130977,31637,2.16,24642,130,57300,4710612,Switzerland,Birsfelden,1955,Aging,S,Dog,Low Industry Growth,13333.33
CHE-100.839.196,Bar/Pub,starbucks ch,http://www.starbucks.ch,1000,200000,2016 Juli,75,69,Y,9555,52920,32326,0.11,24890,290,41100,2000000,Switzerland,Volketswil,2000,Mature,XL,Cash Cow,Low Industry Growth,200
CHE-115.296.057,Restaurants/Cafe/Imbiss,Lavazza,http://www.lavazza.com,3,10000000,2016 Juli,56,734777,Y,40124,320166,38321,0.75,29570,2176,175500,20000,Switzerland,Zizers,2009,New,XS,Question mark,High Industry Growth,3333333.33
CHE-109.029.938,Verb_nde/Vereine,Coop at home,https://www.coopathome.ch,80000,500000000,2016 ovember,41,236198,Y,629,589397,115705,0.14,87819,512,121500,1000000,Switzerland,Basel,1969,Aging,XL,Cash Cow,Low Industry Growth,6250
CHE-103.868.024,Detailhandel/Grosshandel/Vertrieb,Leshop,https://www.leshop.ch,100400,500000000,2016 ovember,67,13440,Y,638,463315,124252,0.05,94269,817,102000,2000000,Switzerland,Zurich,1925,Aging,XL,Cash Cow,Low Industry Growth,4980.08
CHE-105.904.292,Detailhandel/Grosshandel/Vertrieb,Denner,https://www.denner.ch/de/,1000,500000000,2016 Dezember,42,60259,Y,1123,266320,147885,0.44,111827,594,375000,15000000,Switzerland,Zurich,1944,Aging,XL,Cash Cow,Low Industry Growth,500000
CHE-106.014.627,Unternehmens-/Wirtschaftsberatung,Nespresso,https://www.nespresso.ch,12000,500000000,2016 Dezember,58,5693102,Y,661,23634072,1416277,0.08,1060000,9379,102000,2000000,Switzerland,Lausanne,1947,Aging,XL,Cash Cow,Low Industry Growth,41666.67
CHE-103.185.020,Sonstiger ahrungsmittel-/Lebensmittelhandel,Moevenpick Schweiz AG,www.moevenpick-cafe.com,49,200000000,2016 Juli,61,7344,N,11457,266320,1002,0.12,24890,67,27000,6000000,Switzerland,Baar,2005,Mature,S,Question mark,High Industry Growth,4081632.65
