Marke,Mitarbeiter 2025,Gegründet,Stadt,Land,Filialen,Mitarbeiter per Filiale,CEO 2025,Website,
Pimkie,2185,1971,Lille,FR,716,3,Sandrine Njezic,https://www.pimkie.fr/,
Prada,14800,1913,Milan,IT,606,24,Andrea Guerra,https://www.prada.com/,
Primark,73000,1969,Dublin,IR,450,162,Paul Marchant,https://www.primark.com/,
Pull&Bear,9400,1991,Naron,ES,930,10,Victor Rosca,https://www.pullandbear.com/,
Ralph Lauren,23400,1967,New York,US,2432,10,Patrice Louvet,www.ralphlauren.de,
Reserved,25000,1999,Gdansk,PL,1700,15,Marek Piechocki,https://www.reserved.com/,
Riani,130,1978,Schorndorf,DE,5,26,Martina Buckenmaier,https://www.riani.com/,
River Island,7500,1948,London,UK,350,21,Will Kernan,https://www.riverisland.com/,
Ross,108000,1908,California,US,1847,58,James Conroy,https://www.rossstores.com/,
Sandro,1700,1984,Paris,FR,110,15,"E. I. Chetrite, I. Allouch",https://eu.sandro-paris.com/,
Schiesser,923,1875,Radolfzell,DE,1,923,Andreas Lindemann,https://www.schiesser.com/,
Scotch & Soda,5000,1985,Amsterdam,NL,40,125,Thomas Bervoets,https://scotchandsoda.com/,
Seidensticker,2400,1919,Bielefeld,DE,44,55,Silvia Bentzinger,https://www.seidensticker.com/,
Sezane,833,2013,Paris,FR,30,28,Morgane Sezalory,https://www.sezane.com/de,
Stefanel,1000,1959,Ponte di Piave,IT,110,9,Cristiano Portas,www.stefanel.com,
Stradivarius,10000,1994,Barcelona,ES,835,12,Marta Ortega Perez,https://www.stradivarius.com/,
Superdry,3350,1985,Cheltenham,UK,768,4,Julian Dunkerton,https://www.superdry.de/,
Takko,17801,1982,Telgte,DE,1100,16,Martino Pessina,https://www.takko.com/,
Tally Weijl,3000,1987,Basel,CH,900,3,"Beat Grüring, Tally Elfassi Weijl",www.tally-weijl.com,
TK Maxx,349000,1994,Framingham,US,3300,106,Carol Mayrowitz,https://www.tkmaxx.com/,
Tom Tailor,6158,1962,Hamburg,DE,400,15,Gernot Lenz,https://www.tom-tailor.at/,
Trendyol,11722,2010,Istanbul,TR,1,11722,Demet Mutlu,https://www.trendyol.com/,
Ulla Popken,2200,1987,Rastede,DE,300,7,Thomas Schneider,https://www.ullapopken.at/,
Uniqlo,40000,1975,Akasaka,JP,2700,15,Tadashi Yanai,https://www.uniqlo.com/,
Vacid,50,2016,Villingen,DE,1,50,Zoran Karanovic,https://www.vacid.com/,
Van Laack,302,1881,Mönchengladbach,DE,25,12,Christian von Daniels,https://www.vanlaack.com/,
Versace,3000,1978,Milan,IT,240,13,"Donatella, Santo Versace",https://www.versace.com/,
Vila,500,1995,Skanderborg,DK,54,9,A.H. Povlsen,https://www.vila.com/,
Woolworth,7814,1926,Unna,DE,900,9,Roman Heini,https://woolworth.de/,
YSL,4900,1961,Paris,FR,318,15,Cedric Charbit,https://www.ysl.com/,
Zalando,16000,2008,Berlin,DE,1,16000,Robert Genz,https://www.zalando.de/,
Zara,161281,1975,Arteixo,ES,2150,75,Amancio Ortega,https://www.zara.com/,
Zebra,470,1995,Mägenwil,CH,100,5,Michael Solomun,www.zebrafashion.com,
Zero,720,1967,Bremen,DE,70,10,Bernd Brodrick,https://zero.de/,
Amazon,1556000,1994,Seattle,US,1,1556000,Andy Jassy ,www.amazon.com,
Taobao,13000,2003,Zhejiang,CN,1,13000,Fan Jiang,www.taobao.com,
eBay,11500,1995,San Jose,US,1,11500,Jamie Iannone,www.ebay.com,
Tmall,837,2008,Hangzhou,CN,1,837,Eddie Yongming WU,www.tmall.com,
JD,620000,1998,Beijing,CN,1,620000,Sandy Ran Xu,www.jd.com,
Pinduoduo,17403,2015,Dublin,IR,1,17403,Lei Chen,www.pinduoduo.com,
Rakuten,28000,1997,Tokyo,JP,1,28000,Hiroshi Mikitani,www.rakuten.com,
Shopee,8000,2015,Sungapore,SG,1,8000,Feng Zhimin,www.sea.com,
Aliexpress,5000,2010,Zhejiang,CN,1,5000,Daniel Zhang,www.aliexpress.com,
Etsy,2400,2005,New York,US,1,2400,Josh Silverman,www.etsy.com,
Walmart,2100000,1994,Bentonville,US,1,2100000,Doug McMillon,www.walmart.com,
Mercado Libre,84207,1999,Montevideo,UR,1,84207,Stelleo Passos Tolda,www.mercadolibre.com,
Wildberries,48000,2004,Moscow,RU,1,48000,Tatyana Kim,www.wildberries.ru,
Ozon,45850,1998,Moscow,RU,1,45850,Alexander Shulgin,www.corp.ozon.com,
Lazada,10000,2012,Singapore,SG,1,10000,Chun Li,www.lazada.com,
Allegro,2700,1999,Poznan,PL,1,2700,Marcina Kusmierza,www.allegro.pl,
Flipkart,22000,2007,Bengaluru,IN,1,22000,Kalyan Krishnamurthy,www.flipkart.com,
Target,440000,1902,Minneapolis,US,1981,222,Brian C. Cornell,www.target.com,
Mercari,3000,2013,Tokyo,JP,1,3000,Shintaro Yamada,www.mercari.com/,
About you,1400,2014,Hamburg,DE,1,1400,Tarek Müller,www.aboutyou.com,
Temu,3200,2022,Boston,US,1,3200,Colin Huang,www.temu.com,
Alibaba,204891,1999,Zhejiang,CN,1,204891,Eddie Wu ,https://www.alibaba.com/,
